idx,osm_idx,lat,lon
1,9096921100,37.729785,-122.4410108
2,9096921104,37.7299258,-122.4411504
3,287834139,37.7472207,-122.4592808
4,890241099,37.8072409,-122.2416034
5,1636827301,37.7397233,-122.4095133
6,1636827304,37.7483314,-122.4126087
7,4353687911,37.7315189,-122.4454249
8,4353687912,37.7316082,-122.4454242
9,3301966840,37.7430201,-122.410072
10,275776613,37.8544681,-122.2696202
11,287835447,37.7454642,-122.4516754
12,275776856,37.8550439,-122.2684162
13,12450268650,37.8003764,-122.4607329
14,12450268653,37.7989226,-122.4584674
15,12450268659,37.8048785,-122.4483698
16,1042286143,37.8472043,-122.2540933
17,581961285,37.7609278,-122.4400649
18,258475645,37.7829602,-122.4428199
19,297273249,37.7431096,-122.405339
20,243796007,37.8428657,-122.2165675
21,275777596,37.851536,-122.2703693
22,275777736,37.8471232,-122.2717849
23,275777737,37.847202,-122.2718154
24,11374954920,37.8709998,-122.2478018
25,1042287114,37.8447456,-122.2560801
26,520096325,37.8488734,-122.2030468
27,11374955207,37.8698792,-122.2464574
28,11374955209,37.8699042,-122.2461645
29,11374955260,37.867942,-122.2483351
30,11374955290,37.8703805,-122.2470178
31,275778689,37.8592697,-122.2675564
32,728239398,37.8114713,-122.2479441
33,12195577866,37.7430574,-122.474638
34,12195577870,37.7431407,-122.4724948
35,5478813322,37.8119329,-122.2664421
36,275779238,37.8591952,-122.266996
37,12067016432,37.7328453,-122.1752678
38,12067016433,37.7323693,-122.1746978
39,1212681983,37.8106751,-122.1974905
40,1212681996,37.8108457,-122.1972209
41,12291936114,37.7627932,-122.4578116
42,1728581574,37.7529034,-122.3876796
43,1728581633,37.7502118,-122.3874759
44,275779695,37.8594423,-122.2669923
45,275779890,37.8595397,-122.2671296
46,685773165,37.7167283,-122.2070776
47,287838597,37.757461,-122.4470209
48,7148147120,37.8017146,-122.4493505
49,287838782,37.7575399,-122.448928
50,761795188,37.7268685,-122.4753289
51,761795205,37.7265196,-122.475061
52,1968181922,37.8551754,-122.2476629
53,1968181924,37.8545022,-122.2481972
54,1968181925,37.8539987,-122.2486008
55,275780457,37.859731,-122.267191
56,685773938,37.7151302,-122.2080302
57,10689189086,37.8608896,-122.231156
58,1313871315,37.7693349,-122.2299791
59,664802777,37.7946575,-122.1760014
60,2450003421,37.7088535,-122.4324827
61,2450003428,37.7092131,-122.4319453
62,1313871347,37.7762395,-122.2228852
63,1313871348,37.7728482,-122.228432
64,2450003462,37.7150233,-122.4399276
65,2450003465,37.714292,-122.4382977
66,1313871394,37.7700528,-122.2293677
67,1313871431,37.7765097,-122.2226671
68,2450003537,37.7113721,-122.4319315
69,260577507,37.8611137,-122.2830735
70,260577508,37.8610521,-122.2831281
71,260577509,37.8610109,-122.2830554
72,260577510,37.8610689,-122.2829982
73,260577511,37.8604279,-122.2952532
74,260577516,37.8604813,-122.2941627
75,260577520,37.8602959,-122.294269
76,2450004270,37.7136041,-122.4371746
77,685775412,37.716081,-122.208129
78,5060959012,37.8373857,-122.2671994
79,275782450,37.8496793,-122.2711691
80,275782456,37.8506723,-122.2707975
81,275782462,37.8546113,-122.2691834
82,275782464,37.8574403,-122.2682615
83,275782468,37.8564779,-122.2686307
84,275782472,37.8584043,-122.2678977
85,275782481,37.8512085,-122.2706569
86,275782491,37.8487372,-122.2715339
87,275782495,37.8509596,-122.2707668
88,275782502,37.8519876,-122.2701797
89,275782504,37.8534882,-122.2696079
90,11006910222,37.8655316,-122.3100479
91,11006910225,37.8654091,-122.3100008
92,1028661012,37.778129,-122.412322
93,4235206827,37.8494425,-122.2827499
94,4235206829,37.8494597,-122.2826726
95,4235206835,37.8494883,-122.2827249
96,1682973008,37.744898,-122.3868385
97,4237304235,37.8482998,-122.2758692
98,206053816,37.8390326,-122.2280185
99,6348087760,37.7601504,-122.1630244
100,2389189079,37.8081502,-122.2644558
101,2389189115,37.8066469,-122.2631969
102,2389189130,37.8102245,-122.2625867
103,1970807574,37.714926,-122.3978093
104,678962004,37.7665981,-122.219557
105,10276578301,37.7701352,-122.453523
106,311436362,37.8235603,-122.3741032
107,12116305046,37.7380033,-122.5054483
108,728245926,37.8158844,-122.2493862
109,4168099566,37.7714981,-122.190055
110,5853161520,37.7897349,-122.3957806
111,5853161522,37.7898057,-122.3958702
112,5853161524,37.7902742,-122.3950568
113,5853161525,37.7899152,-122.396008
114,5853161527,37.7905408,-122.395403
115,678963606,37.764122,-122.2171499
116,678963615,37.7574331,-122.211004
117,5854734901,37.7129675,-122.4330653
118,5854734905,37.7126516,-122.4328264
119,678963771,37.7663589,-122.2183977
120,217590342,37.7842046,-122.1884392
121,678963790,37.7669388,-122.2189343
122,678963799,37.7661498,-122.2179347
123,295185114,37.7972708,-122.4119262
124,260582180,37.8270063,-122.2780134
125,295185200,37.7970078,-122.4118726
126,275786565,37.8564333,-122.2729061
127,275786806,37.8524912,-122.2709356
128,243805481,37.8403579,-122.2133447
129,275787147,37.851582,-122.2708341
130,6331838067,37.7333576,-122.3915059
131,6331838245,37.7448916,-122.3870917
132,6331838259,37.7452819,-122.3891782
133,6331838265,37.7448273,-122.3896309
134,6331838323,37.745762,-122.3887935
135,6331838327,37.7453169,-122.3892416
136,728248190,37.8131534,-122.250784
137,318255177,37.729591,-122.4935507
138,4294455620,37.8798643,-122.2579358
139,4294455624,37.8800274,-122.2577822
140,295186777,37.7960631,-122.42012
141,318255543,37.7300583,-122.4935265
142,678965850,37.780997,-122.2389481
143,9806820065,37.7406563,-122.4552223
144,295187181,37.7964448,-122.4185055
145,281555704,37.7988099,-122.4787026
146,281555723,37.7988051,-122.478497
147,599798570,37.8004522,-122.2295213
148,250098539,37.7765018,-122.1839597
149,275788740,37.855713,-122.2645801
150,275788940,37.855809,-122.263512
151,678966415,37.7803539,-122.2365041
152,5352469716,37.7698216,-122.4333729
153,5352469963,37.770657,-122.4250989
154,5352469988,37.7750233,-122.4226174
155,5352469999,37.7768892,-122.4229968
156,5352470000,37.777355,-122.4230904
157,5352470004,37.7778191,-122.4231817
158,5352470007,37.7787484,-122.4233714
159,5352470014,37.7806142,-122.4237488
160,5352470018,37.7810758,-122.4238421
161,6903838284,37.7268653,-122.4750476
162,204486285,37.8347256,-122.2186792
163,5012731545,37.7707177,-122.4247604
164,5012731546,37.7707962,-122.4249372
165,4162860842,37.7108124,-122.4614226
166,4162860846,37.7109697,-122.459012
167,1469069099,37.7993627,-122.4673998
168,6981957456,37.7679731,-122.2054868
169,6981957461,37.7686895,-122.2070022
170,6981957464,37.7691076,-122.2078848
171,6981957467,37.7695004,-122.2087313
172,6981957469,37.7699839,-122.2097429
173,1469069155,37.7980632,-122.4689945
174,4186454032,37.7965718,-122.3961109
175,4186454033,37.7964817,-122.396114
