src,dst,osm_src,osm_dst,length,highway,maxspeed,lanes,oneway,speed_kph,free_flow_time_s,capacity_vph
1,7148,30730954,61441677,33.07297223949995,residential,25.0,2,True,25,4.762508002487992,3600
1,9435,30730954,1102741801,278.88651649604105,residential,25.0,1,False,25,40.15965837542991,1800
2,7250,61178875,61451303,71.15630007307185,residential,25.0,2,False,25,10.246507210522346,3600
2,3881,61178875,61356798,94.54012185889388,primary,,2,False,60,5.672407311533632,3600
3,10313,61339242,4939210774,66.59356495386163,tertiary,,1,True,40,5.993420845847547,1800
4,7562,61339246,61468439,72.43599709093004,tertiary,,2,True,40,6.519239738183704,3600
4,10986,61339246,9675924200,168.59687172321708,tertiary,,2,True,40,15.173718455089537,3600
5,6,61339248,61339258,37.73359966109198,secondary,25.0,2,False,25,5.433638351197245,3600
5,57,61339248,61339462,42.76825925591922,secondary,25.0,2,False,25,6.158629332852367,3600
6,7517,61339258,61466681,158.9488272353059,residential,25.0,2,False,25,22.88863112188405,3600
6,10899,61339258,8975607654,53.21196889659687,secondary,25.0,4,False,25,7.662523521109949,7200
6,5,61339258,61339248,37.73359966109198,secondary,25.0,2,False,25,5.433638351197245,3600
7,11183,61339260,11682137110,87.03418893266215,tertiary,20.0,2,False,20,15.666154007879188,3600
7,68,61339260,61339500,79.0709435591563,tertiary,20.0,2,False,20,14.232769840648135,3600
8,2040,61339263,61347228,73.0402256345446,residential,25.0,1,False,25,10.517792491374422,1800
8,7528,61339263,61467111,96.85061995628469,residential,25.0,2,False,25,13.946489273704994,3600
8,10,61339263,61339269,106.85486038731177,secondary,,2,False,50,7.6935499478864475,3600
8,2042,61339263,61347250,86.38094832857345,secondary,,2,False,50,6.219428279657288,3600
9,7,61339265,61339260,74.3716204818002,residential,25.0,1,True,25,10.709513349379229,1800
10,65,61339269,61339486,54.572425046388865,secondary,,2,False,50,3.9292146033399984,3600
10,70,61339269,61339507,71.36673143765289,residential,25.0,1,True,25,10.276809327022015,1800
10,8,61339269,61339263,106.85486038731179,secondary,,2,False,50,7.693549947886448,3600
11,210,61339277,61340121,175.6241025669453,residential,25.0,1,True,25,25.289870769640125,1800
11,14,61339277,61339288,55.98160790556223,residential,25.0,1,True,25,8.061351538400961,1800
12,10702,61339280,7384815911,191.42913964418796,residential,25.0,1,True,25,27.565796108763063,1800
12,11,61339280,61339277,30.40396445366033,residential,25.0,1,True,25,4.378170881327088,1800
13,100,61339286,61339642,206.18266533307403,residential,25.0,1,True,25,29.69030380796266,1800
13,16,61339286,61339305,55.94826923939079,residential,25.0,1,True,25,8.056550770472274,1800
14,9764,61339288,2256586588,6.6845175110422845,residential,25.0,1,True,25,0.9625705215900889,1800
14,64,61339288,61339484,138.07643587901362,residential,25.0,2,False,25,19.88300676657796,3600
15,17,61339292,61339318,90.16726142754777,residential,25.0,2,False,25,12.984085645566878,3600
15,7533,61339292,61467689,104.10422486675654,residential,25.0,2,False,25,14.991008380812941,3600
15,7536,61339292,61467750,93.43174380558503,residential,25.0,1,True,25,13.454171108004244,1800
16,92,61339305,61339604,230.16194485068317,residential,25.0,1,True,25,33.143320058498375,1800
16,2058,61339305,61347352,47.43526471495347,residential,25.0,1,True,25,6.8306781189532995,1800
17,7537,61339318,61467792,44.369124449875876,residential,25.0,2,False,25,6.389153920782126,3600
17,15,61339318,61339292,90.16726142754779,residential,25.0,2,False,25,12.98408564556688,3600
18,7437,61339320,61461294,13.977806437224128,residential,25.0,2,False,25,2.0128041269602743,3600
18,2973,61339320,61352652,113.40215366725543,secondary,,2,True,50,8.164955064042392,3600
19,20,61339322,61339324,25.01943421218673,secondary,,2,False,50,1.8013992632774445,3600
19,2044,61339322,61347263,65.29489198835267,secondary,,2,False,50,4.7012322231613926,3600
20,19,61339324,61339322,25.01943421218673,secondary,,2,False,50,1.8013992632774445,3600
20,18,61339324,61339320,368.95778740156345,residential,25.0,1,True,25,53.129921385825135,1800
20,3554,61339324,61355163,24.242137412111305,secondary,,2,False,50,1.745433893672014,3600
21,25,61339328,61339346,58.413409065850615,residential,25.0,2,True,25,8.411530905482488,3600
21,2665,61339328,61350109,44.858641876388184,residential,25.0,1,True,25,6.459644430199898,1800
22,82,61339341,61339555,15.481974452237063,tertiary,25.0,2,False,25,2.229404321122137,3600
22,10967,61339341,9634361291,193.486584647749,secondary,,3,True,50,13.931034094637928,5400
22,31,61339341,61339365,74.28692544128637,tertiary,25.0,2,False,25,10.697317263545237,3600
23,53,61339342,61339451,38.83081237271862,residential,25.0,1,True,25,5.591636981671481,1800
