idx,osm_idx,lat,lon
1,30730954,42.3676084,-71.0218168
2,61178875,42.3821495,-71.0808776
3,61339242,42.3188497,-71.0595759
4,61339246,42.3187145,-71.0587423
5,61339248,42.318808,-71.1121539
6,61339258,42.3191115,-71.1119486
7,61339260,42.3194564,-71.1003931
8,61339263,42.319555,-71.070666
9,61339265,42.3190756,-71.0996498
10,61339269,42.318947,-71.069698
11,61339277,42.3189222,-71.0551882
12,61339280,42.3189127,-71.0555577
13,61339286,42.3189482,-71.0538605
14,61339288,42.3189643,-71.05451
15,61339292,42.319602,-71.11031
16,61339305,42.3190559,-71.0532163
17,61339318,42.3191643,-71.1094102
18,61339320,42.320732,-71.081621
19,61339322,42.319284,-71.077749
20,61339324,42.319059,-71.077751
21,61339328,42.31935,-71.06644
22,61339341,42.319164,-71.086017
23,61339342,42.319204,-71.103916
24,61339344,42.31926,-71.065627
25,61339346,42.3190745,-71.0658351
26,61339350,42.319664,-71.1045924
27,61339352,42.3198644,-71.0567597
28,61339354,42.318407,-71.07664
29,61339355,42.3190836,-71.0567451
30,61339359,42.3191184,-71.0576893
31,61339365,42.319831,-71.085975
32,61339370,42.3193528,-71.0764973
33,61339372,42.317156,-71.0654467
34,61339376,42.319024,-71.076441
35,61339381,42.3170928,-71.0400751
36,61339391,42.318477,-71.044076
37,61339393,42.3182711,-71.0646408
38,61339396,42.3177451,-71.1017942
39,61339400,42.3184047,-71.1029447
40,61339402,42.3178024,-71.0590628
41,61339404,42.3175798,-71.0591248
42,61339406,42.318825,-71.095305
43,61339409,42.317687,-71.096421
44,61339410,42.319314,-71.095892
45,61339414,42.317777,-71.088734
46,61339416,42.318004,-71.089523
47,61339419,42.317738,-71.071997
48,61339428,42.31825,-71.10125
49,61339434,42.3183333,-71.0982268
50,61339438,42.317768,-71.097403
51,61339440,42.3180918,-71.1049224
52,61339441,42.3178957,-71.1043571
53,61339451,42.318985,-71.103549
54,61339453,42.317927,-71.070167
55,61339458,42.318263,-71.072068
56,61339460,42.3179221,-71.1127772
57,61339462,42.3184668,-71.112394
58,61339464,42.3181327,-71.058976
59,61339468,42.3177164,-71.0567262
60,61339469,42.317972,-71.059881
61,61339471,42.3185901,-71.0662739
62,61339479,42.318441,-71.100389
63,61339483,42.3179709,-71.0997844
64,61339484,42.3177414,-71.0548015
65,61339486,42.318728,-71.069104
66,61339490,42.317782,-71.069518
67,61339492,42.3178208,-71.0668579
68,61339500,42.318872,-71.100941
69,61339503,42.318439,-71.0984281
70,61339507,42.31834,-71.06998
71,61339509,42.318414,-71.086187
72,61339514,42.318268,-71.091004
73,61339520,42.3186991,-71.0989143
74,61339530,42.3169204,-71.0567115
75,61339532,42.3170127,-71.0609603
76,61339539,42.316574,-71.090156
77,61339541,42.316483,-71.0611339
78,61339543,42.317203,-71.089876
79,61339545,42.317269,-71.1066784
80,61339551,42.3169959,-71.0916219
81,61339553,42.3175748,-71.066277
82,61339555,42.319026,-71.086042
83,61339558,42.3166279,-71.1070824
84,61339562,42.316675,-71.099624
85,61339568,42.316935,-71.071784
86,61339577,42.317035,-71.073011
87,61339583,42.316463,-71.0541247
88,61339585,42.316544,-71.072825
89,61339594,42.317538,-71.086361
90,61339596,42.317053,-71.086508
91,61339598,42.3168967,-71.0526195
92,61339604,42.3169879,-71.053336
93,61339606,42.318316,-71.075132
94,61339614,42.316604,-71.075873
95,61339617,42.316722,-71.076766
96,61339619,42.317109,-71.100035
97,61339623,42.317137,-71.085014
98,61339627,42.317653,-71.094603
99,61339630,42.317147,-71.094947
100,61339642,42.3171287,-71.0543321
101,61339649,42.317283,-71.099736
102,61339651,42.3719398,-71.0381578
103,61339655,42.3714921,-71.0332203
104,61339657,42.3724291,-71.0398378
105,61339668,42.3629148,-71.1373758
106,61339670,42.3670555,-71.0388146
107,61339681,42.3631887,-71.13533
108,61339683,42.3170628,-71.06521
109,61339685,42.3172405,-71.062934
110,61339691,42.3706915,-71.0319613
111,61339694,42.3170895,-71.0622694
112,61339696,42.3711388,-71.0326647
113,61339698,42.371401,-71.038783
114,61339700,42.3707592,-71.0377797
115,61339702,42.3707391,-71.0402816
116,61339704,42.3721408,-71.0391801
117,61339706,42.3724692,-71.0347372
118,61339709,42.3712986,-71.0371543
119,61339711,42.3709128,-71.0365487
120,61339719,42.3637966,-71.1181856
121,61339720,42.3634227,-71.0669147
122,61339739,42.3636516,-71.0610118
123,61339741,42.3634598,-71.0613347
124,61339747,42.3637675,-71.1230032
125,61339754,42.3641164,-71.1353583
126,61339756,42.363201,-71.129761
127,61339760,42.3632857,-71.1287682
128,61339761,42.363096,-71.054075
129,61339763,42.36331,-71.0538266
130,61339774,42.3646631,-71.0670929
131,61339788,42.366624,-71.056542
132,61339789,42.366574,-71.053563
