src,dst,length
1,45733,62.237
2,8203,142.236
3,4,44.555
3,14652,88.151
4,3,44.555
5,45700,95.473
5,45678,98.363
5,45675,51.201
6,8211,80.402
7,45677,191.474
7,29,151.465
7,175,72.338
7,45732,73.551
8,13,52.448
8,14697,82.249
9,14646,79.361
9,14685,87.708
9,40483,43.897
10,15,46.209
10,24405,53.558
11,12,39.655
11,14668,55.408
12,11,39.655
13,8,52.448
14,13718,21.843
14,16742,46.499
14,45706,56.18300000000001
15,10,46.209
16,14557,141.063
17,14637,22.899
17,16,9.361
18,45692,48.989
18,45676,36.1
18,60,116.864
19,26,10.395
20,45632,194.412
20,45627,193.112
20,216,71.846
20,130,74.85
21,191,95.626
21,221,75.396
21,236,172.94199999999998
22,401,192.195
22,27,74.983
23,293,73.376
23,143,13.166
23,480,54.393
24,63,207.807
24,45630,53.356
24,45688,47.708
25,253,60.795
25,247,61.019
25,45661,174.064
25,6437,172.153
26,19,10.395
26,45628,65.479
26,12981,128.748
27,130,195.23
27,45632,73.023
28,33,216.347
28,13649,118.927
28,45715,74.8
29,7,151.465
30,477,88.532
30,42949,76.484
30,102,39.007
31,45627,84.107
32,35,77.007
32,37834,98.89999999999999
32,37888,57.902
33,28,216.347
34,437,193.787
34,139,75.57
35,32,77.007
36,140,31.126
36,358,57.35
36,376,39.257
37,45678,51.292
37,45635,20.582
37,60,50.761
38,45704,190.44
38,410,73.627
38,23803,34.869
39,35139,45.884
39,46,65.994
39,42,145.749
39,29036,78.87100000000001
40,39473,77.997
40,39474,133.971
40,51,8.755
41,260,71.209
41,16741,48.513
41,45646,49.45
42,39,145.749
42,23449,29.147
43,42,82.72
43,46,143.4
44,39473,81.771
44,46,80.899
44,45,142.996
44,13216,132.326
45,43,85.394
45,44,142.996
46,44,80.899
46,39,65.994
46,43,143.4
47,445,8.962
47,24133,44.371
47,78,64.111
48,45,82.621
48,39473,145.94400000000002
49,50,40.042
49,51,48.409
50,49,40.042
51,40,8.755
51,54,93.168
52,58,74.274
52,54,76.696
52,65,162.986
52,57,128.08
53,27672,88.172
53,54,123.81700000000001
54,52,76.696
54,51,93.168
54,55,159.745
54,53,123.81700000000001
55,39476,161.847
55,13212,42.963
55,65,75.489
55,54,159.745
56,163,8.38
56,21758,47.519
57,53,76.384
57,52,128.08
58,52,74.274
58,22580,139.988
59,65,75.266
59,58,164.118
60,18,116.864
60,45675,48.938
60,37,50.761
61,14414,544.1610000000001
61,62,49.1
62,68,463.51500000000004
63,24,207.807
63,182,172.755
63,241,64.617
63,219,62.293
64,9762,641.0670000000001
64,66,64.993
65,55,75.489
65,59,75.266
65,13235,162.267
65,52,162.986
66,32709,15.484
67,41960,257.898
67,24645,85.67800000000001
68,5808,687.905
68,6950,52.888000000000005
69,44693,56.366
69,22513,68.177
69,31594,32.618
69,22508,81.951
70,71,36.768
70,22586,41.866
70,7035,25.336
70,7034,68.847
71,45522,39.193
71,70,36.768
71,7033,27.829
71,7032,69.59
72,299,41.364
72,253,98.75
72,402,227.347
73,7339,10.103
73,7335,43.747
73,32477,128.442
73,32476,129.335
74,20970,70.185
74,7341,33.342
74,32477,94.68
74,23074,93.282
75,45646,72.813
75,260,48.784
75,462,56.190999999999995
76,297,137.663
76,23024,7.133
