i,n,lat,lon
1,2816475141,-3.7331122,-38.5655422
2,2816475150,-3.7357497,-38.568581
3,6429343759,-3.7837901,-38.560318
4,6429343758,-3.7840331,-38.5599987
5,1283719185,-3.7511254,-38.6129481
6,2816475154,-3.7329252,-38.5665061
7,1283719187,-3.753119,-38.6122991
8,6429343761,-3.785483,-38.5614135
9,6429343765,-3.7848419,-38.5633481
10,6429343763,-3.7849201,-38.5623054
11,6429343767,-3.7854407,-38.56407
12,6429343766,-3.7850996,-38.5639657
13,6429343760,-3.7853325,-38.5618615
14,1283719194,-3.7505443,-38.6104438
15,6429343762,-3.7847945,-38.5627024
16,6429343772,-3.7833959,-38.5639121
17,6429343773,-3.7833627,-38.5639804
18,1283719198,-3.7496001,-38.6133332
19,1283719200,-3.7442593,-38.6067337
20,1283719235,-3.756339,-38.6142328
21,1283719238,-3.7432759,-38.6101476
22,1283719245,-3.7576179,-38.6160304
23,1283719248,-3.7603478,-38.6146037
24,1283719271,-3.7444581,-38.6079788
25,1283719279,-3.7515728,-38.608943
26,1283719282,-3.7442741,-38.6068262
27,1283719288,-3.7569438,-38.6160126
28,1283719293,-3.7480888,-38.6051303
29,1283719315,-3.753178,-38.6109353
30,1283719320,-3.7582893,-38.615352
31,1283719329,-3.7564445,-38.6117366
32,2775056546,-3.7233538,-38.4779815
33,1283719331,-3.7462313,-38.6052919
34,1283719334,-3.7516954,-38.6156585
35,2775056550,-3.7227139,-38.4777161
36,1283719352,-3.7586747,-38.6139111
37,1283719355,-3.7506317,-38.6138254
38,1283719359,-3.7551031,-38.6124314
39,2854224063,-3.7905933,-38.5437543
40,2854224066,-3.789703,-38.5463697
41,1283719363,-3.7498775,-38.6112595
42,2854224067,-3.7894258,-38.5431572
43,2854224069,-3.7891841,-38.5438623
44,2854224070,-3.7901533,-38.5450023
45,2854224071,-3.7889349,-38.5445903
46,2854224068,-3.7903925,-38.5443137
47,1283719369,-3.7609237,-38.6152685
48,2854224073,-3.7886812,-38.5452902
49,2854224077,-3.7892084,-38.5462292
50,2854224078,-3.7893283,-38.5458889
51,2854224079,-3.7896275,-38.5463473
52,2854224083,-3.7890145,-38.5477042
53,2854224084,-3.7881737,-38.5467302
54,2854224085,-3.7892402,-38.547051
55,2854224086,-3.7906151,-38.5474679
56,1283719383,-3.7496796,-38.6154861
57,2854224088,-3.7879131,-38.5473663
58,2854224087,-3.7887966,-38.548337
59,2854224090,-3.7902095,-38.5487643
60,1283719387,-3.7506505,-38.6133683
61,2504523996,-3.8063066,-38.501975
62,2504523997,-3.8059729,-38.5022601
63,1283719390,-3.7463261,-38.6079222
64,2504523999,-3.8041765,-38.5032552
65,2854224089,-3.7904204,-38.5481197
66,2504524001,-3.8047423,-38.5031173
67,2504523994,-3.8118225,-38.4999516
68,2504524003,-3.8021639,-38.5039557
69,3240100064,-3.7906777,-38.4961919
70,3240100062,-3.7841403,-38.501976
71,3240100061,-3.7838217,-38.5018873
72,1283719399,-3.7516189,-38.6103801
73,3240100067,-3.7938757,-38.4783767
74,3240100066,-3.7930785,-38.4784669
75,1283719402,-3.7505092,-38.6117331
76,3240100075,-3.8011626,-38.4692493
77,1283719404,-3.7504223,-38.614268
78,1283719405,-3.7614717,-38.6154476
79,3240100078,-3.8014467,-38.472628
80,3240100079,-3.801525,-38.4734522
81,3240100080,-3.8019752,-38.4785324
82,3240100081,-3.8025055,-38.5058897
83,3240100082,-3.8030002,-38.5073091
84,3240100083,-3.8062671,-38.4704673
85,3240100084,-3.8091398,-38.4736537
86,3240100085,-3.8092725,-38.4754011
87,3240100086,-3.8103659,-38.4735702
88,3240100087,-3.810519,-38.4753045
89,3240100088,-3.8105824,-38.4657344
90,3240100089,-3.8117689,-38.4751975
91,3240100090,-3.8147229,-38.4775813
92,3240100091,-3.8154414,-38.4781631
93,3240100092,-3.8172436,-38.4709738
94,3240100093,-3.8182537,-38.4776139
95,3240100094,-3.8183583,-38.4817425
96,3240100095,-3.818433,-38.4774032
97,3240100096,-3.8188657,-38.4768873
98,3240100097,-3.8195686,-38.480384
99,1283719427,-3.7558148,-38.6112937
100,1283719438,-3.760861,-38.6160796
101,1283719442,-3.7543245,-38.6159513
102,1283719446,-3.7583026,-38.6150007
103,5487460632,-3.7910746,-38.6354318
104,1283719449,-3.756939,-38.6160647
105,2952134938,-3.7803565,-38.5543646
106,5487460634,-3.7999225,-38.6377935
107,5487460633,-3.7999238,-38.636966
108,5487460637,-3.7983194,-38.6361118
109,5487460638,-3.7982806,-38.6378887
110,5487460639,-3.7966159,-38.6354493
111,5487460636,-3.799327,-38.637827
112,5487460635,-3.7993886,-38.6365946
113,6868959522,-3.752565,-38.5577022
114,5487460644,-3.7955173,-38.6355673
115,5487460646,-3.7954477,-38.6380564
116,5487460647,-3.7949512,-38.636266
117,5487460648,-3.7949057,-38.6380926
118,5487460649,-3.7944079,-38.6359227
119,5487460650,-3.793878,-38.6357363
120,5487460651,-3.7938084,-38.6381918
121,5487460652,-3.793328,-38.6354359
122,5487460653,-3.7927954,-38.6354265
123,5487460654,-3.7926429,-38.6384238
124,1283719471,-3.7616497,-38.6151739
125,5487460656,-3.792129,-38.63546
126,5487460658,-3.7899893,-38.6355163
127,1283719475,-3.7510115,-38.6156516
128,5487460659,-3.791389,-38.6388382
129,5487460660,-3.789525,-38.6358677
130,1283719481,-3.7570118,-38.6142544
131,6621364543,-3.7551185,-38.5890289
132,6621364544,-3.7548014,-38.5888584
133,1283719489,-3.7583189,-38.6143034
134,7043023177,-3.7580469,-38.6263639
135,7043023181,-3.756295,-38.6252722
136,5487460688,-3.7692421,-38.6420609
137,5487460693,-3.7720864,-38.6433323
138,1283719517,-3.7602889,-38.6153907
139,1283719521,-3.7510203,-38.6155801
140,1283719525,-3.7587627,-38.6136448
141,1283719528,-3.7586851,-38.6157043
142,5487460713,-3.7888492,-38.6400439
143,1283719530,-3.7603243,-38.61472
144,1283719536,-3.7434061,-38.6141734
145,5487460722,-3.7906557,-38.6356907
146,5487460723,-3.7911783,-38.636895
147,5487460725,-3.7918306,-38.6386451
148,5487460726,-3.7977346,-38.6357617
149,5487460728,-3.7977333,-38.6379129
150,5487460729,-3.798848,-38.6360876
151,5487460731,-3.7987831,-38.6378599
152,5487460736,-3.7917276,-38.6367374
153,5487460739,-3.7906249,-38.6371766
154,5487460741,-3.7865361,-38.6387512
155,1283719566,-3.7775844,-38.6304919
156,5487460751,-3.7884798,-38.6392298
157,1283719581,-3.7422023,-38.6075319
158,5487460765,-3.7922575,-38.6385365
159,5487460767,-3.7931661,-38.6383031
160,5487460768,-3.7943276,-38.6381301
161,5487460769,-3.7966306,-38.637986
162,1704450601,-3.8192681,-38.6075593
163,1283719590,-3.7496885,-38.6154111
164,1781268902,-3.769613,-38.4943844
165,1283719593,-3.7601226,-38.6161926
166,1781268906,-3.8096548,-38.4801728
167,1283719595,-3.7424656,-38.6092909
168,7190086060,-3.7881399,-38.644326
169,1781268910,-3.8036216,-38.4878285
170,1781268923,-3.7996242,-38.4668185
171,1704450607,-3.8194344,-38.6098579
172,2279080382,-3.7452155,-38.5346783
173,1781268931,-3.8094288,-38.4917214
174,7190086084,-3.7917294,-38.6584295
175,1283719630,-3.752471,-38.6122414
176,1781268942,-3.8053642,-38.4748165
177,7205159378,-3.8126395,-38.5838435
178,1283719636,-3.7543836,-38.6141137
179,1781268949,-3.7706657,-38.4939887
180,1704450612,-3.8196394,-38.6094308
181,1283719640,-3.755767,-38.6124797
182,1283719643,-3.7478795,-38.6078959
183,1897529819,-3.7796866,-38.5461469
184,1781268968,-3.7857801,-38.5070874
185,1781268969,-3.7850898,-38.5043672
186,1781268970,-3.801162,-38.4700956
187,1781268974,-3.7848778,-38.5052212
