idx,osm_idx,lat,lon
1,42421728,40.7980486,-73.9600434
2,42421731,40.798645,-73.9614743
3,42421737,40.7992545,-73.962886
4,42421741,40.8004313,-73.9657046
5,42421745,40.8014007,-73.9679942
6,42421749,40.8016434,-73.9685615
7,42421751,40.8022682,-73.970054
8,42421769,40.7826383,-73.9750067
9,42421772,40.783828,-73.9778254
10,42421775,40.7845691,-73.9795827
11,42421776,40.7850311,-73.9806779
12,42421778,40.7855935,-73.9820114
13,42421800,40.7839863,-73.9703136
14,42421803,40.7851787,-73.9731503
15,42421806,40.7863627,-73.9759753
16,42421809,40.7870877,-73.9776927
17,42421810,40.7875673,-73.9788289
18,42421820,40.7885135,-73.9810702
19,42421828,40.725326,-73.976212
20,42421852,40.8126165,-73.9568104
21,42421857,40.8138385,-73.9598159
22,42421865,40.814192,-73.960687
23,42421877,40.7328593,-73.9959038
24,42421889,40.7341463,-73.9991816
25,42421941,40.704211,-74.008789
26,42421946,40.703813,-74.008325
27,42421951,40.7033242,-74.0077787
28,42421960,40.7040838,-74.0089636
29,42421965,40.7032082,-74.0079771
30,42421969,40.7692723,-73.9810245
31,42421972,40.7697921,-73.9822548
32,42421974,40.7704805,-73.9838467
33,42421982,40.7716682,-73.9866896
34,42421985,40.7728658,-73.9895487
35,42421993,40.7872303,-73.9679486
36,42421996,40.7884319,-73.9707848
37,42422000,40.7896131,-73.9736025
38,42422006,40.7902552,-73.9751319
39,42422016,40.7908141,-73.976449
40,42422018,40.7917606,-73.9786893
41,42422026,40.7115654,-74.0158085
42,42422028,40.7110102,-74.0143968
43,42422035,40.7101452,-74.0126714
44,42422038,40.709687,-74.011674
45,42422042,40.709154,-74.010542
46,42422050,40.708614,-74.009371
47,42422053,40.7077219,-74.008269
48,42422086,40.8016938,-73.9334616
49,42422110,40.8021434,-73.9337698
50,42422168,40.8021279,-73.9328482
51,42422207,40.8006413,-73.9310755
52,42422258,40.7482137,-74.0074126
53,42422270,40.7064526,-74.002383
54,42422283,40.7094916,-74.001657
55,42422359,40.7979661,-73.9223431
56,42422366,40.7854081,-73.983689
57,42422399,40.7877568,-73.9828491
58,42422509,40.7374587,-73.974153
59,42422530,40.759667,-73.9582334
60,42422545,40.7850896,-73.9842284
61,42422592,40.7849758,-73.9826602
62,42422899,40.7456771,-73.9721195
63,42423020,40.7460815,-73.9749232
64,42423039,40.7165061,-73.9756975
65,42423051,40.7188498,-73.9747446
66,42423070,40.7836063,-73.9852813
67,42423101,40.8442431,-73.9337066
68,42423116,40.8461493,-73.9323138
69,42423170,40.8026802,-73.9326138
70,42423189,40.8033714,-73.9329248
71,42423203,40.8027007,-73.9334044
72,42423295,40.71325,-73.977586
73,42423296,40.7124485,-73.9777809
74,42423307,40.7107361,-73.9816369
75,42423331,40.785842,-73.9837108
76,42423456,40.7237914,-74.006113
77,42423549,40.7210513,-73.9747141
78,42423564,40.7589757,-73.964501
79,42423565,40.7596362,-73.9639971
80,42423674,40.766876,-73.979076
81,42423752,40.7620792,-73.9619892
82,42423774,40.738358,-73.9737798
83,42423836,40.7593876,-73.9969538
84,42423885,40.7577413,-73.9968472
85,42424025,40.7828662,-73.9437553
86,42424032,40.7803049,-73.9856663
87,42424089,40.7606238,-73.964345
88,42424109,40.794774,-73.9304732
89,42424117,40.7944866,-73.9318124
90,42424133,40.793786,-73.9322343
91,42424142,40.7696458,-73.9483958
92,42424145,40.7687012,-73.9491484
93,42424218,40.769378,-73.9950384
94,42424225,40.7794868,-73.9735933
95,42424235,40.817189,-73.934463
96,42424408,40.7219848,-74.0082309
97,42424427,40.7730374,-73.9782943
98,42424439,40.7916741,-73.9647071
99,42424531,40.8295922,-73.9352284
100,42424551,40.8305583,-73.9356498
101,42424576,40.8304897,-73.9362839
102,42424610,40.7206456,-74.008466
103,42424619,40.7237578,-74.0079297
104,42424641,40.7146116,-73.9768601
105,42424672,40.7593082,-73.9592519
106,42424679,40.820283,-73.959539
107,42424698,40.8227216,-73.9574473
108,42424701,40.8197265,-73.9601312
109,42424703,40.818704,-73.961038
110,42424706,40.818025,-73.96179
111,42424757,40.8069238,-73.9355687
112,42424758,40.806716,-73.934989
113,42424789,40.7576611,-73.9948152
114,42424823,40.8379473,-73.948061
115,42424851,40.784623,-73.9698495
116,42424864,40.7244132,-74.0059302
117,42424932,40.7176725,-73.9848376
118,42424937,40.8105536,-73.9672119
119,42425088,40.8176537,-73.9610075
