src,dst,osm_src,osm_dst,length,highway,maxspeed,lanes,oneway,speed_kph,free_flow_time_s,capacity_vph
1,1302,42421728,42435337,85.34515470462713,secondary,25.0,1,False,25,12.289702277466308,1800
1,2,42421728,42421731,138.03308952853828,secondary,,1,False,50,9.938382446054757,1800
1,998,42421728,42432736,86.27456870373445,secondary,25.0,1,False,25,12.423537893337759,1800
2,1714,42421731,42437916,86.14920332816727,residential,,1,False,30,10.337904399380072,1800
2,999,42421731,42432737,85.9687654326612,residential,,1,False,30,10.316251851919343,1800
2,1,42421731,42421728,138.03308952853826,secondary,,1,False,50,9.938382446054755,1800
2,3,42421731,42421737,134.77112308645727,secondary,,1,False,50,9.703520862224924,1800
3,2,42421737,42421731,134.77112308645727,secondary,,1,False,50,9.703520862224924,1800
3,1715,42421737,42437917,85.99085373431258,primary,25.0,3,True,25,12.382682937741011,5400
3,4,42421737,42421741,271.3508315239775,secondary,,2,False,50,19.53725986972638,3600
4,1001,42421741,42432756,86.23903766903307,primary,,3,True,60,5.174342260141984,5400
4,3703,42421741,1061531654,199.7941140306396,secondary,,1,False,50,14.385176210206051,1800
4,3,42421741,42421737,271.3508315239775,secondary,,2,False,50,19.53725986972638,3600
5,3703,42421745,1061531654,22.08785079907959,secondary,,1,False,50,1.5903252575337303,1800
5,6,42421745,42421749,55.924056405462686,secondary,,1,False,50,4.026532061193313,1800
5,4568,42421745,11803957852,93.53818564138417,primary,25.0,4,True,25,13.469498732359321,7200
6,7,42421749,42421751,142.25972439474836,residential,,1,False,30,17.071166927369802,1800
6,5,42421749,42421745,55.92405640546268,secondary,,1,False,50,4.026532061193313,1800
6,813,42421749,42431118,85.52103361465278,tertiary,25.0,3,False,25,12.31502884051,5400
7,6,42421751,42421749,142.25972439474836,residential,,1,False,30,17.071166927369802,1800
7,1002,42421751,42432764,85.1811835903375,residential,,1,True,30,10.221742030840499,1800
8,2287,42421769,42443347,86.01085340862146,primary,25.0,3,True,25,12.38556289084149,5400
9,8,42421772,42421769,271.7017452995124,residential,,2,True,30,32.60420943594149,3600
9,2136,42421772,42442469,81.61915885499333,primary,,3,True,60,4.8971495312996,5400
10,4560,42421775,11655721345,19.292136858252466,residential,,2,True,30,2.315056422990296,3600
10,400,42421775,42428653,86.20818058340643,primary,25.0,4,True,25,12.413978004010525,7200
11,10,42421776,42421775,105.43305466871695,residential,,2,True,30,12.651966560246033,3600
11,791,42421776,42431024,80.92245222202435,tertiary,25.0,3,False,25,11.652833119971506,5400
11,790,42421776,42431019,86.55482911524162,tertiary,25.0,3,False,25,12.463895392594793,5400
12,11,42421778,42421776,127.99254166429785,residential,,2,True,30,15.35910499971574,3600
12,60,42421778,42422592,87.48022596426914,secondary,,1,False,50,6.298576269427378,1800
12,2085,42421778,42441587,82.1866001902237,secondary,,1,False,50,5.917435213696106,1800
13,2304,42421783,42443522,267.007876360242,primary,,3,False,60,16.02047258161452,5400
13,233,42421783,42427782,249.00078188031068,residential,20.0,1,True,20,44.820140738455926,1800
13,489,42421783,42429174,153.18326240017382,primary,,4,False,60,9.190995744010428,7200
13,4477,42421783,8904913030,29.605289929157358,primary,,4,False,60,1.7763173957494414,7200
14,15,42421785,42421786,239.74347624042753,tertiary,,1,True,40,21.57691286163848,1800
14,2303,42421785,42443520,201.1830127897773,residential,,1,False,30,24.141961534773277,1800
15,16,42421786,42421791,127.59031906257657,tertiary,,1,True,40,11.483128715631892,1800
16,4217,42421791,4814440062,215.27370491299004,tertiary,,1,True,40,19.374633442169106,1800
16,2747,42421791,42448930,90.61989019143377,residential,,1,True,30,10.87438682297205,1800
