idx,osm_idx,lat,lon
1,42421728,40.7980478,-73.9600437
2,42421731,40.7986542,-73.9614745
3,42421737,40.7992437,-73.9628734
4,42421741,40.8004295,-73.9656909
5,42421745,40.8013981,-73.9679955
6,42421749,40.8016452,-73.9685741
7,42421751,40.8022679,-73.9700504
8,42421769,40.7826383,-73.9750067
9,42421772,40.783828,-73.9778254
10,42421775,40.7845691,-73.9795827
11,42421776,40.7850352,-73.9806732
12,42421778,40.7855915,-73.9820041
13,42421783,40.8593291,-73.9313239
14,42421785,40.858744,-73.930122
15,42421786,40.859012,-73.927625
16,42421791,40.859944,-73.926786
17,42421800,40.7839869,-73.9703125
18,42421803,40.7851818,-73.9731496
19,42421806,40.7863627,-73.9759753
20,42421809,40.7870876,-73.9776916
21,42421810,40.7875711,-73.9788225
22,42421820,40.788486,-73.9810702
23,42421828,40.725334,-73.9762137
24,42421852,40.8126219,-73.9568234
25,42421857,40.8138218,-73.9598
26,42421865,40.814184,-73.9606929
27,42421877,40.7328696,-73.9959296
28,42421889,40.7341463,-73.9991816
29,42421941,40.7042693,-74.0087265
30,42421946,40.7038253,-74.0083431
31,42421951,40.7033264,-74.0077746
32,42421960,40.7041084,-74.0089696
33,42421965,40.7032048,-74.0079952
34,42421969,40.7692956,-73.9810586
35,42421972,40.7697925,-73.982236
36,42421974,40.7704797,-73.9838597
37,42421982,40.7716605,-73.986677
38,42421985,40.7728633,-73.9895402
39,42421993,40.787235,-73.9679404
40,42421996,40.7884325,-73.9707862
41,42422000,40.7896131,-73.9736025
42,42422006,40.7902583,-73.9751294
43,42422016,40.7908218,-73.9764487
44,42422018,40.7917878,-73.978619
45,42422026,40.7115841,-74.0157844
46,42422028,40.7110047,-74.0143969
47,42422038,40.7096669,-74.0116583
48,42422042,40.7091731,-74.0105706
49,42422050,40.7086249,-74.0093797
50,42422053,40.7077288,-74.0082757
51,42422086,40.8016439,-73.9333873
52,42422110,40.8021471,-73.9337706
53,42422168,40.8021545,-73.9328935
54,42422258,40.7482041,-74.0074153
55,42422270,40.7062566,-74.0027542
56,42422283,40.7094916,-74.001657
57,42422399,40.7880027,-73.9827592
58,42422449,40.8007075,-73.9311515
59,42422509,40.7381466,-73.9736517
60,42422592,40.7849764,-73.9826519
61,42422899,40.7456883,-73.9721236
62,42423020,40.7460796,-73.9749393
63,42423039,40.7163982,-73.9757407
64,42423051,40.718847,-73.9748036
65,42423070,40.7835314,-73.9853322
66,42423101,40.8442481,-73.9337236
67,42423116,40.8461578,-73.9323269
68,42423170,40.8026802,-73.9326159
69,42423189,40.8033683,-73.9329255
70,42423203,40.802694,-73.9334099
71,42423295,40.7132542,-73.9775923
72,42423296,40.7125226,-73.9777588
73,42423307,40.71075,-73.9814926
74,42423456,40.7237914,-74.006113
75,42423514,40.7244991,-74.0070265
76,42423549,40.721087,-73.9747151
77,42423564,40.7589831,-73.9645095
78,42423565,40.7596426,-73.9640002
79,42423579,40.7595738,-73.960551
80,42423674,40.766876,-73.979076
81,42423752,40.7620775,-73.9619964
82,42423774,40.738339,-73.9738156
83,42423832,40.7587817,-73.998505
84,42423836,40.7593876,-73.9969538
85,42423847,40.7588687,-73.9992001
86,42423885,40.7577433,-73.9968456
87,42424025,40.7828748,-73.9437833
88,42424032,40.780311,-73.9856862
89,42424089,40.7606212,-73.9643559
90,42424117,40.7944866,-73.9318124
91,42424133,40.793757,-73.9322765
92,42424142,40.769641,-73.9484005
93,42424145,40.7687032,-73.9491341
94,42424225,40.7794865,-73.9735934
95,42424235,40.8171783,-73.9344659
96,42424258,40.7217241,-74.0067668
97,42424334,40.7211998,-74.0079995
98,42424347,40.7209099,-74.0078146
99,42424354,40.7208183,-74.0075453
100,42424408,40.7219848,-74.0082309
101,42424439,40.7916758,-73.964694
102,42424531,40.8295918,-73.9352393
103,42424551,40.8305218,-73.9355839
104,42424576,40.8304127,-73.9363638
105,42424610,40.7206149,-74.0084726
106,42424630,40.7244054,-74.0070994
107,42424641,40.7146195,-73.9768477
108,42424672,40.7593001,-73.9592658
109,42424679,40.8202619,-73.9594899
110,42424698,40.8232976,-73.9570228
111,42424701,40.8197265,-73.9601312
112,42424703,40.8186803,-73.9610583
113,42424706,40.8180007,-73.9618103
114,42424757,40.8069238,-73.9355669
115,42424758,40.80669,-73.9349387
116,42424789,40.7576654,-73.9948115
117,42424851,40.784623,-73.9698495
118,42424864,40.7244039,-74.005932
119,42424937,40.8105617,-73.967223
120,42425088,40.8176372,-73.9609651
121,42425100,40.715649,-73.977917
122,42425127,40.7917204,-73.9529787
123,42425232,40.7923773,-73.9641772
124,42425242,40.8203291,-73.9596517
125,42425348,40.7954937,-73.9760092
126,42425417,40.8282864,-73.9348645
127,42425425,40.8158343,-73.9344443
128,42425484,40.814759,-73.9343888
129,42425570,40.7942085,-73.9628541
130,42425681,40.7993152,-73.929126
131,42425747,40.8034625,-73.9312143
132,42425758,40.8310238,-73.93598
133,42425780,40.8668739,-73.930985
134,42425955,40.7143955,-74.0005026
135,42425959,40.8692662,-73.9318334
136,42426060,40.7239092,-74.0075216
137,42426135,40.8039382,-73.9323444
138,42426374,40.7982188,-73.952396
139,42426665,40.8340424,-73.9371916
140,42426747,40.7024415,-74.0128371
141,42426799,40.8025637,-73.9303673
142,42426805,40.7923959,-73.9367868
143,42426810,40.834924,-73.9354669
144,42426816,40.7472995,-73.9758338
145,42426851,40.74693,-73.9692725
146,42426865,40.7374172,-73.974504
147,42426875,40.7369776,-73.9749044
148,42426957,40.806301,-73.9348501
149,42426968,40.8179047,-73.9342503
150,42426971,40.8188825,-73.9343644
151,42427009,40.7904084,-73.9367296
152,42427016,40.847745,-73.9311661
153,42427030,40.7652696,-73.9521462
154,42427036,40.7665323,-73.9510157
155,42427086,40.8353715,-73.9441039
156,42427112,40.8363811,-73.9445746
157,42427115,40.8370771,-73.9442977
158,42427122,40.8377866,-73.9440172
159,42427126,40.8384634,-73.9437512
160,42427128,40.839174,-73.943465
161,42427133,40.8401941,-73.9430682
162,42427136,40.8421541,-73.9422847
163,42427139,40.8428216,-73.9420178
164,42427143,40.8434507,-73.9416342
165,42427146,40.8440509,-73.9411456
166,42427150,40.844695,-73.9408022
167,42427152,40.8453757,-73.9405244
168,42427156,40.8460446,-73.9402488
169,42427159,40.8465308,-73.9400565
170,42427164,40.8472122,-73.9397798
171,42427168,40.847842,-73.9395229
172,42427185,40.8499993,-73.9386521
173,42427190,40.850909,-73.938284
174,42427196,40.8521285,-73.9378214
175,42427206,40.85338,-73.937435
176,42427212,40.8551136,-73.9369042
177,42427216,40.857109,-73.935602
178,42427236,40.7116883,-74.0058474
179,42427242,40.7101781,-74.0042431
180,42427249,40.7070101,-74.0064417
181,42427251,40.7063813,-74.0056937
182,42427254,40.7060012,-74.0052076
183,42427256,40.705408,-74.0044743
184,42427278,40.7135883,-74.0035657
185,42427300,40.7151561,-74.0021038
186,42427305,40.7157492,-74.0016779
187,42427307,40.7169298,-74.0008126
188,42427311,40.7176217,-74.0002647
189,42427316,40.7180188,-73.9999527
190,42427319,40.718687,-73.9994121
191,42427322,40.7189219,-73.9992256
192,42427324,40.7198009,-73.9985059
193,42427327,40.7208288,-73.9976413
194,42427335,40.7152425,-73.9842337
195,42427337,40.7161377,-73.9836386
196,42427340,40.71669,-73.9833893
197,42427345,40.7171684,-73.9831408
198,42427346,40.7183141,-73.9825206
199,42427352,40.7194618,-73.9819415
200,42427358,40.7206496,-73.9813453
201,42427369,40.7396764,-73.9909614
202,42427371,40.7410305,-73.9941671
203,42427374,40.7422336,-73.9970019
204,42427381,40.7434291,-73.9998503
205,42427386,40.744639,-74.0027325
206,42427390,40.7458171,-74.005534
207,42427393,40.7468041,-74.0078822
208,42427411,40.7081724,-74.0166109
209,42427412,40.708457,-74.017398
210,42427423,40.7435682,-73.9923179
211,42427426,40.744765,-73.9951595
212,42427427,40.7459651,-73.9979896
213,42427477,40.747171,-74.0008681
214,42427483,40.748355,-74.003684
215,42427494,40.7502621,-74.0083005
216,42427504,40.8716544,-73.9112343
217,42427507,40.8722414,-73.9126036
218,42427519,40.8123183,-73.9522263
219,42427523,40.81294,-73.95177
220,42427531,40.813567,-73.951322
221,42427538,40.814187,-73.95086
222,42427649,40.8179231,-73.9497399
223,42427735,40.8214914,-73.948539
224,42427742,40.714251,-73.9808938
225,42427744,40.7135531,-73.9808346
226,42427750,40.7115248,-73.980623
227,42427762,40.7636536,-73.9734832
228,42427764,40.7639136,-73.9741072
229,42427768,40.855598,-73.927319
230,42427769,40.856182,-73.928716
231,42427773,40.8566083,-73.9297266
232,42427780,40.857841,-73.932043
233,42427782,40.8581161,-73.932977
234,42427786,40.745301,-73.986846
235,42427787,40.7460483,-73.9886101
236,42427797,40.7466658,-73.9900676
237,42427805,40.7478634,-73.9929048
238,42427812,40.749056,-73.9957286
239,42427821,40.7514585,-74.0014183
240,42427824,40.7526648,-74.0042686
241,42427834,40.8134253,-73.9371434
242,42427844,40.8621121,-73.9300037
243,42427846,40.8622107,-73.9296676
244,42427849,40.8626215,-73.9286059
245,42427852,40.862926,-73.927766
246,42427855,40.863238,-73.926923
247,42427859,40.8635745,-73.9260124
248,42427863,40.864403,-73.923767
249,42427867,40.8651,-73.921884
250,42427870,40.865797,-73.919996
251,42427873,40.866315,-73.918596
252,42427877,40.866813,-73.917205
253,42427881,40.8272063,-73.9424535
254,42427883,40.827823,-73.941997
255,42427888,40.828447,-73.94154
256,42427891,40.829083,-73.941078
257,42427894,40.8302773,-73.9402064
258,42427915,40.7820388,-73.9717224
259,42427926,40.8745523,-73.9096352
260,42427934,40.8746713,-73.9110993
