src,dst,length,travelTime
1,2,138.0,32.0
1,935,87.0,13.0
1,1228,85.0,15.0
2,1,138.0,38.0
2,3,137.0,32.0
2,936,86.0,17.0
2,1636,85.0,16.0
3,2,137.0,26.0
3,4,261.0,59.0
3,1637,87.0,13.0
4,3,272.0,45.0
4,938,85.0,11.0
4,4103,207.0,44.0
5,6,54.0,16.0
5,400,96.0,15.0
5,4103,21.0,6.0
6,5,54.0,17.0
6,7,143.0,28.0
6,762,87.0,11.0
7,6,143.0,34.0
7,939,85.0,16.0
8,2208,88.0,11.0
9,8,272.0,65.0
9,2060,81.0,10.0
10,377,87.0,19.0
10,4089,16.0,4.0
11,10,107.0,20.0
11,739,87.0,9.0
11,740,81.0,14.0
12,11,128.0,30.0
12,61,89.0,8.0
12,2008,81.0,13.0
13,115,82.0,12.0
13,1216,80.43727990556987,13.733194130219246
14,13,271.0,64.0
14,1564,80.0,8.0
15,14,276.0,66.0
15,2061,81.0,8.0
16,380,81.0,13.0
16,4105,15.0,3.0
17,16,111.0,26.0
17,742,81.0,10.0
17,743,80.0,15.0
18,17,216.3977878030322,52.852915915026294
18,1566,88.0,9.0
18,2007,86.0,13.0
19,722,127.0,23.0
19,723,102.0,22.0
20,1749,173.0,33.0
20,2082,96.0,18.0
20,3767,267.0,70.0
21,22,85.0,20.0
21,3767,17.0,5.0
21,4153,246.0,40.0
22,21,85.0,20.0
22,2192,170.0,36.0
22,4138,247.0,39.0
23,24,310.0,58.0
23,1644,74.0,12.0
24,610,81.0,9.0
24,884,42.0,10.0
25,28,18.0,4.0
25,2871,160.0,36.0
26,25,59.0,19.0
27,26,72.0,19.0
27,29,19.0,2.0
27,2273,80.0,11.0
28,25,18.0,2.0
28,29,129.0,29.0
28,241,60.0,22.0
28,842,254.0,64.0
29,4559,284.0,34.0
30,4782,81.0,11.0
31,361,94.09103849821902,33.95037471585223
31,4116,22.0,4.0
32,31,155.0,34.0
32,4130,81.0,12.0
33,4581,80.0,7.0
34,33,275.0,64.0
34,726,80.0,12.0
34,4258,79.0,12.0
34,4502,98.4949419630045,36.69419406464874
35,36,273.0,65.0
35,779,81.0,10.0
35,1218,79.0,11.0
36,37,273.0,61.0
36,1659,80.0,8.0
37,1531,79.91972872349831,13.6448317332802
37,4115,128.0,30.0
38,39,128.0,30.0
38,384,78.0,14.0
39,40,214.0,51.0
39,746,79.0,9.0
