idx,osm_idx,lat,lon
1,32927563,37.7860172,-122.390902
2,32927591,37.731371,-122.4236705
3,32927645,37.7327065,-122.4132611
4,33241803,37.8050417,-122.4034504
5,33242031,37.7990541,-122.4164837
6,54891208,37.7705805,-122.3911917
7,54891395,37.7695721,-122.3927659
8,54891397,37.7696737,-122.3911048
9,54891446,37.7711091,-122.3894111
10,54891461,37.771278,-122.3866019
11,54891483,37.7708625,-122.3864767
12,54891501,37.7690188,-122.3863311
13,54891569,37.7689303,-122.3876163
14,65279851,37.8053702,-122.4118788
15,65279852,37.8051503,-122.413529
16,65279860,37.723583,-122.386139
17,65279862,37.72304,-122.386628
18,65279877,37.7212302,-122.388419
19,65279891,37.7199375,-122.3894613
20,65279893,37.719298,-122.39002
21,65279895,37.718688,-122.390564
22,65279896,37.7180602,-122.391135
23,65279897,37.7175125,-122.391593
24,65279910,37.728678,-122.381564
25,65279912,37.728051,-122.382126
26,65279914,37.727425,-122.382687
27,65279916,37.726798,-122.383248
28,65279918,37.726171,-122.38381
29,65279929,37.7250218,-122.3851264
30,65279961,37.7336422,-122.376989
31,65279965,37.7330737,-122.3776537
32,65279971,37.752212,-122.4687333
33,65280002,37.7508087,-122.4690178
34,65280018,37.7508352,-122.4686316
35,65280040,37.7492161,-122.4685327
36,65280044,37.7489418,-122.4684993
37,65280050,37.74708,-122.4683702
38,65280069,37.7863889,-122.4711296
39,65280072,37.7845276,-122.4709958
40,65280073,37.7826596,-122.4708615
41,65280076,37.778812,-122.4705849
42,65280083,37.7769424,-122.4704505
43,65280086,37.7750785,-122.4703166
44,65280094,37.7448686,-122.4682103
45,65280097,37.744127,-122.4681611
46,65280099,37.7433923,-122.4681124
47,65280104,37.7658342,-122.4696804
48,65280106,37.7639075,-122.469545
49,65280110,37.7601763,-122.4692852
50,65280114,37.7583097,-122.4691548
51,65280116,37.7564454,-122.4690246
52,65280118,37.7552316,-122.4689545
53,65280134,37.7749327,-122.4084965
54,65280136,37.7747987,-122.4083293
55,65280138,37.7743588,-122.4077779
56,65280154,37.7906893,-122.4815695
57,65280157,37.790563,-122.4809354
58,65280159,37.7906099,-122.4808543
59,65280184,37.7110786,-122.3863226
60,65280284,37.7161347,-122.3900339
61,65280289,37.7178997,-122.3924653
62,65280292,37.7179691,-122.39261
63,65280295,37.718487,-122.393545
64,65280297,37.7195594,-122.3954611
65,65280302,37.7206065,-122.397309
66,65280323,37.7204823,-122.4501293
67,65280326,37.7193559,-122.450852
68,65280347,37.7965829,-122.4562632
69,65280373,37.7941248,-122.4576569
70,65280377,37.7336837,-122.426389
71,65280380,37.733566,-122.4277144
72,65280384,37.7334845,-122.4285745
73,65280393,37.73318,-122.4311489
74,65280398,37.7330011,-122.4319773
75,65280425,37.7333561,-122.4328258
76,65280432,37.7336038,-122.4341379
77,65280438,37.7337754,-122.4349924
78,65280452,37.7340737,-122.4366692
79,65280473,37.7348747,-122.4399937
80,65280488,37.7359776,-122.4419063
81,65280502,37.7316437,-122.4316897
82,65280506,37.7322495,-122.432147
83,65280576,37.7343496,-122.438435
84,65280632,37.708354,-122.455928
85,65280635,37.709549,-122.4576804
86,65280672,37.733143,-122.3719647
87,65280694,37.7309563,-122.3739205
88,65280709,37.7266122,-122.3779849
89,65280738,37.7171906,-122.3863094
90,65280743,37.7184431,-122.3851901
