orig,dest,ell,nr
5809,1494,1000.7070169579106,1
6731,4011,1000.3381624463657,38
1094,5048,999.9467565205722,2
6376,4216,999.1228151959235,41
3792,9697,1000.6195496218218,17
10862,507,1000.8667121320923,36
2062,10509,1000.9058046876921,2
7487,3332,999.3418753616148,0
9441,5978,1000.6782762726054,30
1812,2844,1000.7318868325017,10
1863,3644,999.8760730062303,35
6188,9842,999.8687826432143,50
5303,6187,1000.9731871796508,1
1745,6005,999.9522662330115,3
511,10296,1000.2293296293668,27
1527,8368,1000.716942907729,15
6638,728,1000.8604216989783,45
1979,6952,1000.8768912011711,4
5768,5804,999.6275380792016,5
9355,7121,1000.5234453250735,3
1286,1725,1000.6726635551006,3
8117,7819,1000.6212463391968,35
8122,4088,1000.8186794588244,1
7704,6660,1000.809429148776,4
8555,424,1000.8838677238388,9
4630,5630,999.6048547240381,108
4132,5038,999.4944373691148,45
6841,1957,999.6304144974873,2
8774,9758,999.2049137102166,5
4819,4244,999.1610177761551,23
9560,2207,999.0078671870624,10
1952,9373,999.9038940669344,24
6125,2580,999.2276558571998,50
1155,5707,999.6904236828252,1
1835,5367,999.9368569863118,1
2268,8409,999.3444171821881,5
10863,5060,1000.4300007438399,8
10870,7859,999.8975816540311,77
3604,11094,1000.9162603247263,1
7399,5034,999.0900767132571,19
9911,1857,1000.6937390912364,23
3446,9811,1000.5681036441574,1
6119,10907,999.0348130322787,1
11094,3604,1000.9162603247263,134
2251,11003,999.7925138270272,38
5401,6210,999.5278566889413,1
3762,3241,1000.1338425986872,4
2637,53,999.1334347954075,1
9478,9448,999.4224070262118,0
10042,7268,1000.2371352575481,8
4402,8984,1000.9755375141572,16
8802,3762,999.6949752072849,16
2847,8155,999.0903400149494,1
8304,761,1000.5136746696259,16
996,2233,999.1247149185947,46
3816,491,999.7203932025445,21
9495,2642,1000.8987257361508,25
3632,9812,1000.224157320393,58
9115,4609,1000.0449416982348,3
4943,6135,999.2813454329436,55
1410,2304,1000.7294641151074,15
6319,3770,1000.831816568905,33
2643,3030,1000.4096622178722,1
7430,5821,999.5307250187261,112
4966,7006,999.6148824454294,19
1888,10521,999.8391098239534,49
10165,11045,999.0020350060968,3
5461,5919,999.0284759803852,1
7803,1348,1000.372314432762,1
9471,9899,999.6734283420577,4
9512,4515,999.720357763827,5
8938,5156,999.8887147477132,65
1320,4699,999.4815838944053,8
7165,2513,999.099838537743,111
6162,8873,1000.3700769814124,23
7338,6540,999.8932851455274,22
10782,7663,999.3234733710857,9
1372,413,1000.2453951607447,2
118,2457,1000.119239411514,105
1098,4386,999.5515762007689,2
2363,1641,1000.7072749014814,109
7242,8421,999.3752418273594,1
22,397,1000.7238343134915,9
819,668,1000.8680818747843,16
8024,5149,1000.5793535734466,34
163,10494,1000.2445882837783,5
4305,5894,999.2813499970197,0
8835,10754,1000.9946531630343,55
4661,8898,1000.1167714865186,10
2623,8437,1000.4650260242848,26
8376,7693,1000.0436853903173,122
9151,1616,1000.2043145773616,0
11043,2705,1000.4618648935285,1
2595,7870,999.1731653698595,2
4786,7313,1000.8652588573636,5
9080,3568,1000.9972780834516,48
6074,6915,1000.3377097215435,58
725,700,999.8278587628026,14
10793,4660,999.4681826034667,2
2006,10414,1000.2159924099707,46
